instance_number,db_id,query,question,query_toks,query_toks_no_value,question_toks,modified question,generated_query
355,cre_Doc_Template_Mgt,"SELECT T2.template_id FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code WHERE T1.template_type_description  =  ""Presentation""","What are the template ids with template type description ""Presentation"".","['SELECT', 'T2.template_id', 'FROM', 'Ref_template_types', 'AS', 'T1', 'JOIN', 'Templates', 'AS', 'T2', 'ON', 'T1.template_type_code', '=', 'T2.template_type_code', 'WHERE', 'T1.template_type_description', '=', '``', 'Presentation', ""''""]","['select', 't2', '.', 'template_id', 'from', 'ref_template_types', 'as', 't1', 'join', 'templates', 'as', 't2', 'on', 't1', '.', 'template_type_code', '=', 't2', '.', 'template_type_code', 'where', 't1', '.', 'template_type_description', '=', 'value']","['What', 'are', 'the', 'template', 'ids', 'with', 'template', 'type', 'description', '``', 'Presentation', ""''"", '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the template ids with template type description ""Presentation"". <query> "," 
  SELECT 
    template_id 
  FROM 
    <bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos>"
356,cre_Doc_Template_Mgt,"SELECT T2.template_id FROM Ref_template_types AS T1 JOIN Templates AS T2 ON T1.template_type_code  = T2.template_type_code WHERE T1.template_type_description  =  ""Presentation""",Return the ids corresponding to templates with the description 'Presentation'.,"['SELECT', 'T2.template_id', 'FROM', 'Ref_template_types', 'AS', 'T1', 'JOIN', 'Templates', 'AS', 'T2', 'ON', 'T1.template_type_code', '=', 'T2.template_type_code', 'WHERE', 'T1.template_type_description', '=', '``', 'Presentation', ""''""]","['select', 't2', '.', 'template_id', 'from', 'ref_template_types', 'as', 't1', 'join', 'templates', 'as', 't2', 'on', 't1', '.', 'template_type_code', '=', 't2', '.', 'template_type_code', 'where', 't1', '.', 'template_type_description', '=', 'value']","['Return', 'the', 'ids', 'corresponding', 'to', 'templates', 'with', 'the', 'description', ""'Presentation"", ""'"", '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Return the ids corresponding to templates with the description 'Presentation'. <query> ",
357,cre_Doc_Template_Mgt,SELECT count(*) FROM Paragraphs,How many paragraphs in total?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Paragraphs']","['select', 'count', '(', '*', ')', 'from', 'paragraphs']","['How', 'many', 'paragraphs', 'in', 'total', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many paragraphs in total? <query> "," 

""Write a query that answers the following question. Return only the query and no additional explanation.""

<"
358,cre_Doc_Template_Mgt,SELECT count(*) FROM Paragraphs,Count the number of paragraphs.,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Paragraphs']","['select', 'count', '(', '*', ')', 'from', 'paragraphs']","['Count', 'the', 'number', 'of', 'paragraphs', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Count the number of paragraphs. <query> "," 
SELECT COUNT(DISTINCT paragraph)
FROM text
</query>
</"
359,cre_Doc_Template_Mgt,SELECT count(*) FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_ID  =  T2.document_ID WHERE T2.document_name  =  'Summer Show',How many paragraphs for the document with name 'Summer Show'?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Paragraphs', 'AS', 'T1', 'JOIN', 'Documents', 'AS', 'T2', 'ON', 'T1.document_ID', '=', 'T2.document_ID', 'WHERE', 'T2.document_name', '=', ""'Summer"", 'Show', ""'""]","['select', 'count', '(', '*', ')', 'from', 'paragraphs', 'as', 't1', 'join', 'documents', 'as', 't2', 'on', 't1', '.', 'document_id', '=', 't2', '.', 'document_id', 'where', 't2', '.', 'document_name', '=', 'value']","['How', 'many', 'paragraphs', 'for', 'the', 'document', 'with', 'name', ""'Summer"", 'Show', ""'"", '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many paragraphs for the document with name 'Summer Show'? <query> "," 
  <select>
    <from>
      <table name=""<bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos>"
360,cre_Doc_Template_Mgt,SELECT count(*) FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_ID  =  T2.document_ID WHERE T2.document_name  =  'Summer Show',Count the number of paragraphs in the document named 'Summer Show'.,"['SELECT', 'count', '(', '*', ')', 'FROM', 'Paragraphs', 'AS', 'T1', 'JOIN', 'Documents', 'AS', 'T2', 'ON', 'T1.document_ID', '=', 'T2.document_ID', 'WHERE', 'T2.document_name', '=', ""'Summer"", 'Show', ""'""]","['select', 'count', '(', '*', ')', 'from', 'paragraphs', 'as', 't1', 'join', 'documents', 'as', 't2', 'on', 't1', '.', 'document_id', '=', 't2', '.', 'document_id', 'where', 't2', '.', 'document_name', '=', 'value']","['Count', 'the', 'number', 'of', 'paragraphs', 'in', 'the', 'document', 'named', ""'Summer"", 'Show', ""'"", '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Count the number of paragraphs in the document named 'Summer Show'. <query> "," 

""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Count the"
361,cre_Doc_Template_Mgt,select other_details from paragraphs where paragraph_text like 'korea',Show paragraph details for paragraph with text 'Korea ' .,"['select', 'other_details', 'from', 'paragraphs', 'where', 'paragraph_text', 'like', '""korea""']","['select', 'other_details', 'from', 'paragraphs', 'where', 'paragraph_text', 'like', 'value']","['Show', 'paragraph', 'details', 'for', 'paragraph', 'with', 'text', ""'Korea"", ""'"", '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show paragraph details for paragraph with text 'Korea ' . <query> "," 
  select * from paragraph where text like '%pancreas%'
</query"
362,cre_Doc_Template_Mgt,select other_details from paragraphs where paragraph_text like 'korea',What are the details for the paragraph that includes the text 'Korea ' ?,"['select', 'other_details', 'from', 'paragraphs', 'where', 'paragraph_text', 'like', '""korea""']","['select', 'other_details', 'from', 'paragraphs', 'where', 'paragraph_text', 'like', 'value']","['What', 'are', 'the', 'details', 'for', 'the', 'paragraph', 'that', 'includes', 'the', 'text', ""'Korea"", ""'"", '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the details for the paragraph that includes the text 'Korea ' ? <query> "," 
    <select>
        <from>
            <table name=""<bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos>"
363,cre_Doc_Template_Mgt,"SELECT T1.paragraph_id ,   T1.paragraph_text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id WHERE T2.Document_Name  =  'Welcome to NY'",Show all paragraph ids and texts for the document with name 'Welcome to NY'.,"['SELECT', 'T1.paragraph_id', ',', 'T1.paragraph_text', 'FROM', 'Paragraphs', 'AS', 'T1', 'JOIN', 'Documents', 'AS', 'T2', 'ON', 'T1.document_id', '=', 'T2.document_id', 'WHERE', 'T2.Document_Name', '=', ""'Welcome"", 'to', 'NY', ""'""]","['select', 't1', '.', 'paragraph_id', ',', 't1', '.', 'paragraph_text', 'from', 'paragraphs', 'as', 't1', 'join', 'documents', 'as', 't2', 'on', 't1', '.', 'document_id', '=', 't2', '.', 'document_id', 'where', 't2', '.', 'document_name', '=', 'value']","['Show', 'all', 'paragraph', 'ids', 'and', 'texts', 'for', 'the', 'document', 'with', 'name', ""'Welcome"", 'to', 'NY', ""'"", '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show all paragraph ids and texts for the document with name 'Welcome to NY'. <query> "," 

""Write a query that"
364,cre_Doc_Template_Mgt,"SELECT T1.paragraph_id ,   T1.paragraph_text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id WHERE T2.Document_Name  =  'Welcome to NY'",What are the ids and texts of paragraphs in the document titled 'Welcome to NY'?,"['SELECT', 'T1.paragraph_id', ',', 'T1.paragraph_text', 'FROM', 'Paragraphs', 'AS', 'T1', 'JOIN', 'Documents', 'AS', 'T2', 'ON', 'T1.document_id', '=', 'T2.document_id', 'WHERE', 'T2.Document_Name', '=', ""'Welcome"", 'to', 'NY', ""'""]","['select', 't1', '.', 'paragraph_id', ',', 't1', '.', 'paragraph_text', 'from', 'paragraphs', 'as', 't1', 'join', 'documents', 'as', 't2', 'on', 't1', '.', 'document_id', '=', 't2', '.', 'document_id', 'where', 't2', '.', 'document_name', '=', 'value']","['What', 'are', 'the', 'ids', 'and', 'texts', 'of', 'paragraphs', 'in', 'the', 'document', 'titled', ""'Welcome"", 'to', 'NY', ""'"", '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the ids and texts of paragraphs in the document titled 'Welcome to NY'? <query> "," 
SELECT id, text
FROM paragraphs
WHERE doc_id = (
    SELECT id
    FROM documents
    WHERE title = 'Welcome to NY'
)

""Write a query"
365,cre_Doc_Template_Mgt,"SELECT T1.paragraph_text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id WHERE T2.document_name  =  ""Customer reviews""","Show all paragraph texts for the document ""Customer reviews"".","['SELECT', 'T1.paragraph_text', 'FROM', 'Paragraphs', 'AS', 'T1', 'JOIN', 'Documents', 'AS', 'T2', 'ON', 'T1.document_id', '=', 'T2.document_id', 'WHERE', 'T2.document_name', '=', '``', 'Customer', 'reviews', ""''""]","['select', 't1', '.', 'paragraph_text', 'from', 'paragraphs', 'as', 't1', 'join', 'documents', 'as', 't2', 'on', 't1', '.', 'document_id', '=', 't2', '.', 'document_id', 'where', 't2', '.', 'document_name', '=', 'value']","['Show', 'all', 'paragraph', 'texts', 'for', 'the', 'document', '``', 'Customer', 'reviews', ""''"", '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show all paragraph texts for the document ""Customer reviews"". <query> ","
    SELECT *
    FROM paragraph
    WHERE document_id = 
<bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos>"
366,cre_Doc_Template_Mgt,"SELECT T1.paragraph_text FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id WHERE T2.document_name  =  ""Customer reviews""",What are the paragraph texts for the document with the name 'Customer reviews'?,"['SELECT', 'T1.paragraph_text', 'FROM', 'Paragraphs', 'AS', 'T1', 'JOIN', 'Documents', 'AS', 'T2', 'ON', 'T1.document_id', '=', 'T2.document_id', 'WHERE', 'T2.document_name', '=', '``', 'Customer', 'reviews', ""''""]","['select', 't1', '.', 'paragraph_text', 'from', 'paragraphs', 'as', 't1', 'join', 'documents', 'as', 't2', 'on', 't1', '.', 'document_id', '=', 't2', '.', 'document_id', 'where', 't2', '.', 'document_name', '=', 'value']","['What', 'are', 'the', 'paragraph', 'texts', 'for', 'the', 'document', 'with', 'the', 'name', ""'Customer"", 'reviews', ""'"", '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the paragraph texts for the document with the name 'Customer reviews'? <query> "," 
SELECT *
FROM document
WHERE name = 'Customer reviews'
ORDER BY paragraph_text

""Write a query that answers the following question."
367,cre_Doc_Template_Mgt,"SELECT document_id ,  count(*) FROM Paragraphs GROUP BY document_id ORDER BY document_id",Show all document ids and the number of paragraphs in each document. Order by document id.,"['SELECT', 'document_id', ',', 'count', '(', '*', ')', 'FROM', 'Paragraphs', 'GROUP', 'BY', 'document_id', 'ORDER', 'BY', 'document_id']","['select', 'document_id', ',', 'count', '(', '*', ')', 'from', 'paragraphs', 'group', 'by', 'document_id', 'order', 'by', 'document_id']","['Show', 'all', 'document', 'ids', 'and', 'the', 'number', 'of', 'paragraphs', 'in', 'each', 'document', '.', 'Order', 'by', 'document', 'id', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show all document ids and the number of paragraphs in each document. Order by document id. <query> "," 
SELECT doc_id, count(para_id)
FROM document
JOIN paragraph
ON document.doc_id = paragraph.doc_id
GROUP BY doc_id
ORDER BY doc_id;
</query>
</question>
"
368,cre_Doc_Template_Mgt,"SELECT document_id ,  count(*) FROM Paragraphs GROUP BY document_id ORDER BY document_id","Return the different document ids along with the number of paragraphs corresponding to each, ordered by id.","['SELECT', 'document_id', ',', 'count', '(', '*', ')', 'FROM', 'Paragraphs', 'GROUP', 'BY', 'document_id', 'ORDER', 'BY', 'document_id']","['select', 'document_id', ',', 'count', '(', '*', ')', 'from', 'paragraphs', 'group', 'by', 'document_id', 'order', 'by', 'document_id']","['Return', 'the', 'different', 'document', 'ids', 'along', 'with', 'the', 'number', 'of', 'paragraphs', 'corresponding', 'to', 'each', ',', 'ordered', 'by', 'id', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Return the different document ids along with the number of paragraphs corresponding to each, ordered by id. <query> "," 
SELECT id,"
369,cre_Doc_Template_Mgt,"SELECT T1.document_id ,  T2.document_name ,  count(*) FROM Paragraphs AS T1 JOIN Documents AS T2 ON T1.document_id  =  T2.document_id GROUP BY T1.document_id","Show all document ids, names and the number of paragraphs in each document.","['SELECT', 'T1.document_id', ',', 'T2.document_name', ',', 'count', '(', '*', ')', 'FROM', 'Paragraphs', 'AS', 'T1', 'JOIN', 'Documents', 'AS', 'T2', 'ON', 'T1.document_id', '=', 'T2.document_id', 'GROUP', 'BY', 'T1.document_id']","['select', 't1', '.', 'document_id', ',', 't2', '.', 'document_name', ',', 'count', '(', '*', ')', 'from', 'paragraphs', 'as', 't1', 'join', 'documents', 'as', 't2', 'on', 't1', '.', 'document_id', '=', 't2', '.', 'document_id', 'group', 'by', 't1', '.', 'document_id']","['Show', 'all', 'document', 'ids', ',', 'names', 'and', 'the', 'number', 'of', 'paragraphs', 'in', 'each', 'document', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Show all document ids, names and the number of paragraphs in each document. <query> "," 
SELECT doc_id, doc_name, count(para_id)
FROM document, paragraph
WHERE document.doc_id = paragraph.doc_id
GROUP BY doc_id, doc"
